time,logger,level,message,exception
2012-06-24 09:18:14.2142,Raven.Database.Server.HttpServer,Debug,"Request #2,359: GET     -    28 ms - HitThatLine - 304 - /docs/users/test",
2012-06-24 09:18:16.5794,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'users/test' was found,
2012-06-24 09:18:16.5794,Raven.Database.Server.HttpServer,Debug,"Request #2,360: GET     -    62 ms - HitThatLine - 304 - /docs/users/test",
2012-06-24 09:18:17.2269,Raven.Database.Server.HttpServer,Debug,"Request #2,361: GET     -   200 ms - HitThatLine - 200 - /stats?noCache=-43249234",
2012-06-24 09:18:17.3050,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'users/test' was found,
2012-06-24 09:18:17.3050,Raven.Database.Server.HttpServer,Debug,"Request #2,362: GET     -    77 ms - HitThatLine - 304 - /docs/users/test",
2012-06-24 09:18:17.9027,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'users/test' was found,
2012-06-24 09:18:17.9027,Raven.Database.Server.HttpServer,Debug,"Request #2,363: GET     -     8 ms - HitThatLine - 304 - /docs/users/test",
2012-06-24 09:18:27.5443,Raven.Database.Server.HttpServer,Debug,"Request #2,364: GET     -    49 ms - HitThatLine - 200 - /stats?noCache=-1967254175",
2012-06-24 09:18:32.6517,Raven.Database.Server.HttpServer,Debug,"Request #2,365: GET     -    60 ms - HitThatLine - 200 - /stats?noCache=-231747941",
2012-06-24 09:18:35.9574,Raven.Database.Server.HttpServer,Debug,"Request #2,366: GET     -    40 ms - HitThatLine - 200 - /terms/Raven/DocumentsByEntityName?field=Tag&fromValue=&pageSize=100&noCache=-1700895731",
2012-06-24 09:18:36.0169,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:DiscussionThreads,
2012-06-24 09:18:36.0169,Raven.Database.Server.HttpServer,Debug,"Request #2,367: GET     -     1 ms - HitThatLine - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253ADiscussionThreads&start=0&pageSize=0&aggregation=None",
2012-06-24 09:18:36.0169,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:DiscussionThreads
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 2 total.
",
2012-06-24 09:18:36.0169,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:Threads,
2012-06-24 09:18:36.0169,Raven.Database.Server.HttpServer,Debug,"Request #2,368: GET     -     1 ms - HitThatLine - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AThreads&start=0&pageSize=0&aggregation=None",
2012-06-24 09:18:36.0169,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:DiscussionThreads
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 2 total.
",
2012-06-24 09:18:36.0267,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:Threads
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
",
2012-06-24 09:18:36.0267,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:Users,
2012-06-24 09:18:36.0267,Raven.Database.Server.HttpServer,Debug,"Request #2,369: GET     -     1 ms - HitThatLine - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AUsers&start=0&pageSize=0&aggregation=None",
2012-06-24 09:18:36.0267,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:DiscussionThreads
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 2 total.
",
